,Client_ID,ordered_boxes,ordered_volume,date,region,Center_ID,Latitude_CD,Longitude_CD,Latitude_Client,Longitude_Client,cluster_id,Assigned_CD
26267,12238911,90.25,6.822900000000001,2025-03-27,Centro,AV06,4.946467,-73.941175,4.879319476,-74.04829848,0,AV06
26268,12238994,10.0,0.756,2025-03-26,Centro,AV04,5.807142,-73.006556,5.597743,-73.076028,1,AV04
26269,12239150,52.2033333,3.94657199748,2025-03-04,Centro,AV26,4.596453,-74.148856,4.49314301,-74.10268422,6,AV26
26270,12239158,13.0,0.9828,2025-03-15,Centro,AV26,4.596453,-74.148856,4.56701,-74.1458,6,AV26
26271,12239182,103.6,7.83216,2025-03-10,Centro,AV42,5.544456,-73.352553,5.509257482,-73.37072611,4,AV42
26272,12239188,19.0,1.4364,2025-03-19,Centro,AV06,4.946467,-73.941175,4.754940395,-74.0851974,0,AV50
26273,12239205,6.0,0.4536,2025-03-05,Centro,AV06,4.946467,-73.941175,5.06282,-73.975,9,AV06
26274,12239264,20.1666667,1.5246000025200002,2025-03-20,Centro,AV50,4.742992,-74.164592,4.735223,-74.251957,8,AV50
26275,12239280,16.25,1.2285,2025-03-20,Centro,AV06,4.946467,-73.941175,4.703488835,-74.0230658,0,AV26
26276,12239289,39.5,2.9862,2025-03-19,Centro,AV42,5.544456,-73.352553,5.632863458,-73.32572015,4,AV42
26277,12239293,26.5833333,2.00969999748,2025-03-23,Centro,AV06,4.946467,-73.941175,4.917793989,-74.0134221,9,AV06
26278,12239347,20.25,1.5309,2025-03-08,Centro,AV06,4.946467,-73.941175,4.763188319,-74.03762342,0,AV26
26279,12239348,369.0,27.8964,2025-03-10,Centro,AV42,5.544456,-73.352553,5.50825,-73.368694,4,AV42
26280,12239358,54.2916667,4.10445000252,2025-03-03,Centro,AV42,5.544456,-73.352553,5.509420836,-73.37219353,4,AV42
26281,12239445,95.0,7.182,2025-03-11,Centro,AV50,4.742992,-74.164592,4.73438,-74.0963,0,AV50
26282,12239985,84.0277778,6.35250000168,2025-03-10,Centro,AV26,4.596453,-74.148856,4.550568289,-74.0915959,6,AV26
26283,12240028,16.4999999,1.24739999244,2025-03-05,Centro,AV04,5.807142,-73.006556,5.70963435,-72.9266538,1,AV04
26284,12240106,20.0,1.512,2025-03-07,Centro,AV50,4.742992,-74.164592,4.764432579,-74.46228542,8,AV47
26285,12240111,22.27,1.683612,2025-03-13,Centro,AV26,4.596453,-74.148856,4.577059856,-74.12191662,6,AV26
26286,12240124,8.219999999999999,0.6214319999999999,2025-03-12,Centro,AV42,5.544456,-73.352553,5.51388,-73.182445,4,AV42
26287,12240148,5.95,0.44982,2025-03-28,Centro,AV47,4.541264,-74.251706,4.641401,-74.485413,8,AV47
26288,12240175,58.9716666,4.45825799496,2025-03-28,Centro,AV42,5.544456,-73.352553,5.546485021,-73.36785284,4,AV42
26289,12240199,37.4166666,2.82869999496,2025-03-26,Centro,AV50,4.742992,-74.164592,4.742260792,-74.107149,0,AV50
26290,12240259,3.5,0.2646,2025-03-26,Centro,AV50,4.742992,-74.164592,4.715189028,-74.10251728,0,AV50
26291,12240320,14.25,1.0773,2025-03-18,Centro,AV06,4.946467,-73.941175,5.143958943,-73.68516527,2,AV06
26292,12240323,22.0,1.6632,2025-03-21,Centro,AV50,4.742992,-74.164592,4.75835,-74.1018,0,AV50
26293,12240364,67.25,5.084099999999999,2025-03-10,Centro,AV06,4.946467,-73.941175,4.71759,-74.05649,0,AV26
26294,12240451,2.27,0.171612,2025-03-29,Centro,AV47,4.541264,-74.251706,4.572061805,-74.23270061,6,AV47
26295,12240453,6.55,0.4951799999999999,2025-03-03,Centro,AV42,5.544456,-73.352553,5.42852,-73.511398,4,AV42
